,segment_id,poi_ID_start,poi_type_start,type_ID_start,poid_ID_end,poi_type_end,type_ID_end,start_end,dist_start,dist_end,nb_cells,cells
0,3.0,30.0,link,0.0,33.0,link,1.0,"(30, 33)",0.0,2525.7146,1.0,[0]
1,4.0,34.0,link,1.0,37.0,od,2.0,"(34, 37)",0.0,45274.3838,2.0,"[1, 2]"
2,4.0,37.0,od,2.0,43.0,od,3.0,"(37, 43)",45274.3838,102737.0405,3.0,"[3, 4, 5]"
3,4.0,43.0,od,3.0,45.0,od,4.0,"(43, 45)",102737.0405,138217.9379,2.0,"[6, 7]"
4,4.0,45.0,od,4.0,46.0,od,5.0,"(45, 46)",138217.9379,146012.0919,1.0,[8]
5,4.0,46.0,od,5.0,49.0,link,2.0,"(46, 49)",146012.0919,182066.4548,2.0,"[9, 10]"
6,5.0,50.0,link,1.0,51.0,od,7.0,"(50, 51)",0.0,8025.963,1.0,[11]
7,5.0,51.0,od,7.0,59.0,od,8.0,"(51, 59)",8025.963,82595.8681,3.0,"[12, 13, 14]"
8,5.0,59.0,od,8.0,62.0,link,4.0,"(59, 62)",82595.8681,102115.0511,1.0,[15]
9,6.0,63.0,link,0.0,68.0,od,11.0,"(63, 68)",0.0,22864.5423,1.0,[16]
10,6.0,68.0,od,11.0,70.0,link,3.0,"(68, 70)",22864.5423,60876.2242,2.0,"[17, 18]"
11,7.0,71.0,link,0.0,74.0,link,2.0,"(71, 74)",0.0,25294.5419,2.0,"[19, 20]"
12,8.0,75.0,link,2.0,77.0,link,0.0,"(75, 77)",0.0,21173.6853,1.0,[21]
13,9.0,78.0,link,2.0,80.0,od,27.0,"(78, 80)",0.0,33157.1268,2.0,"[22, 23]"
14,9.0,80.0,od,27.0,81.0,link,7.0,"(80, 81)",33157.1268,33157.1268,1.0,[24]
15,10.0,82.0,link,3.0,84.0,link,4.0,"(82, 84)",0.0,15227.5355,1.0,[25]
16,11.0,85.0,link,3.0,88.0,link,5.0,"(85, 88)",0.0,19878.6901,1.0,[26]
17,12.0,89.0,link,4.0,92.0,link,5.0,"(89, 92)",0.0,20725.0958,1.0,[27]
18,13.0,93.0,link,4.0,94.0,od,17.0,"(93, 94)",0.0,19475.3531,1.0,[28]
19,13.0,94.0,od,17.0,98.0,od,18.0,"(94, 98)",19475.3531,68549.1823,2.0,"[29, 30]"
20,13.0,98.0,od,18.0,103.0,link,8.0,"(98, 103)",68549.1823,132616.9692,3.0,"[31, 32, 33]"
21,14.0,104.0,link,5.0,107.0,link,6.0,"(104, 107)",0.0,6596.6004,1.0,[34]
22,15.0,108.0,link,6.0,109.0,od,21.0,"(108, 109)",0.0,7927.7943,1.0,[35]
23,15.0,109.0,od,21.0,112.0,od,22.0,"(109, 112)",7927.7943,45457.6034,2.0,"[36, 37]"
24,15.0,112.0,od,22.0,113.0,link,0.0,"(112, 113)",45457.6034,48631.1786,1.0,[38]
25,16.0,114.0,link,6.0,123.0,od,24.0,"(114, 123)",0.0,70682.8975,3.0,"[39, 40, 41]"
26,16.0,123.0,od,24.0,128.0,link,12.0,"(123, 128)",70682.8975,113917.8108,2.0,"[42, 43]"
27,17.0,129.0,link,0.0,130.0,link,7.0,"(129, 130)",0.0,109.925,1.0,[44]
28,18.0,131.0,link,7.0,132.0,od,28.0,"(131, 132)",0.0,1036.9156,1.0,[45]
29,18.0,132.0,od,28.0,140.0,link,11.0,"(132, 140)",1036.9156,126075.5317,6.0,"[46, 47, 48, 49, 50, 51]"
30,19.0,141.0,link,7.0,142.0,link,0.0,"(141, 142)",0.0,18219.5771,1.0,[52]
31,20.0,143.0,link,0.0,144.0,od,32.0,"(143, 144)",0.0,15887.6367,1.0,[53]
32,20.0,144.0,od,32.0,147.0,link,8.0,"(144, 147)",15887.6367,37253.2285,1.0,[54]
33,21.0,148.0,link,8.0,150.0,link,10.0,"(148, 150)",0.0,32474.4736,2.0,"[55, 56]"
34,22.0,151.0,link,8.0,152.0,link,9.0,"(151, 152)",0.0,25496.1441,2.0,"[57, 58]"
35,23.0,153.0,link,0.0,154.0,link,9.0,"(153, 154)",0.0,348.031,1.0,[59]
36,24.0,155.0,link,9.0,156.0,od,36.0,"(155, 156)",0.0,4899.2528,1.0,[60]
37,24.0,156.0,od,36.0,163.0,link,15.0,"(156, 163)",4899.2528,78175.4748,3.0,"[61, 62, 63]"
38,25.0,164.0,link,9.0,165.0,link,10.0,"(164, 165)",0.0,35248.1726,2.0,"[64, 65]"
39,26.0,166.0,link,10.0,167.0,od,38.0,"(166, 167)",0.0,13380.9161,1.0,[66]
40,26.0,167.0,od,38.0,168.0,link,11.0,"(167, 168)",13380.9161,24120.7763,1.0,[67]
41,27.0,169.0,link,11.0,172.0,od,39.0,"(169, 172)",0.0,25617.9983,2.0,"[68, 69]"
42,27.0,172.0,od,39.0,177.0,od,40.0,"(172, 177)",25617.9983,82449.7993,3.0,"[70, 71, 72]"
43,27.0,177.0,od,40.0,180.0,link,15.0,"(177, 180)",82449.7993,128894.5131,2.0,"[73, 74]"
44,28.0,181.0,link,11.0,185.0,link,0.0,"(181, 185)",0.0,40879.2797,2.0,"[75, 76]"
45,29.0,186.0,link,0.0,187.0,od,43.0,"(186, 187)",0.0,0.0,1.0,[77]
46,29.0,187.0,od,43.0,188.0,link,13.0,"(187, 188)",0.0,9651.7629,1.0,[78]
47,30.0,189.0,link,12.0,193.0,link,13.0,"(189, 193)",0.0,27311.5906,2.0,"[79, 80]"
48,31.0,194.0,link,12.0,198.0,link,14.0,"(194, 198)",0.0,24222.2134,1.0,[81]
49,32.0,199.0,link,13.0,201.0,link,16.0,"(199, 201)",0.0,35413.569,2.0,"[82, 83]"
50,33.0,202.0,link,14.0,203.0,od,47.0,"(202, 203)",0.0,2558.1675,1.0,[84]
51,33.0,203.0,od,47.0,204.0,link,0.0,"(203, 204)",2558.1675,22213.6118,1.0,[85]
52,34.0,205.0,link,14.0,208.0,od,49.0,"(205, 208)",0.0,32359.2641,2.0,"[86, 87]"
53,34.0,208.0,od,49.0,209.0,link,20.0,"(208, 209)",32359.2641,38220.8595,1.0,[88]
54,35.0,210.0,link,0.0,211.0,link,16.0,"(210, 211)",0.0,35104.463,2.0,"[89, 90]"
55,36.0,212.0,link,15.0,215.0,link,17.0,"(212, 215)",0.0,10780.415,1.0,[91]
56,37.0,216.0,link,16.0,218.0,link,18.0,"(216, 218)",0.0,9891.2835,1.0,[92]
57,38.0,219.0,link,17.0,224.0,od,54.0,"(219, 224)",0.0,16560.5526,1.0,[93]
58,38.0,224.0,od,54.0,225.0,link,22.0,"(224, 225)",16560.5526,31585.4342,1.0,[94]
59,39.0,226.0,link,17.0,227.0,od,56.0,"(226, 227)",0.0,10230.945,1.0,[95]
60,39.0,227.0,od,56.0,228.0,link,24.0,"(227, 228)",10230.945,17071.7299,1.0,[96]
61,40.0,229.0,link,18.0,230.0,link,26.0,"(229, 230)",0.0,13785.5992,1.0,[97]
62,41.0,231.0,link,18.0,234.0,link,25.0,"(231, 234)",0.0,19664.6825,1.0,[98]
63,42.0,235.0,link,0.0,236.0,link,21.0,"(235, 236)",0.0,974.9931,1.0,[99]
64,43.0,237.0,link,20.0,239.0,link,22.0,"(237, 239)",0.0,10360.6755,1.0,[100]
65,44.0,240.0,link,20.0,241.0,link,21.0,"(240, 241)",0.0,4390.0471,1.0,[101]
66,45.0,242.0,link,20.0,244.0,link,27.0,"(242, 244)",0.0,16227.5537,1.0,[102]
67,46.0,245.0,link,21.0,246.0,link,23.0,"(245, 246)",0.0,9404.5552,1.0,[103]
68,47.0,247.0,link,22.0,249.0,link,28.0,"(247, 249)",0.0,29618.3313,2.0,"[104, 105]"
69,48.0,250.0,link,24.0,251.0,link,0.0,"(250, 251)",0.0,34790.8303,2.0,"[106, 107]"
70,49.0,252.0,link,0.0,253.0,od,68.0,"(252, 253)",0.0,0.0,1.0,[108]
71,49.0,253.0,od,68.0,254.0,link,23.0,"(253, 254)",0.0,735.1153,1.0,[109]
72,50.0,255.0,link,23.0,256.0,link,25.0,"(255, 256)",0.0,2660.5134,1.0,[110]
73,51.0,257.0,link,23.0,259.0,link,27.0,"(257, 259)",0.0,7784.5887,1.0,[111]
74,52.0,260.0,link,24.0,261.0,link,0.0,"(260, 261)",0.0,776.1827,1.0,[112]
75,53.0,262.0,link,24.0,263.0,link,28.0,"(262, 263)",0.0,9705.4865,1.0,[113]
76,54.0,264.0,link,25.0,266.0,link,26.0,"(264, 266)",0.0,19751.6727,1.0,[114]
77,55.0,267.0,link,26.0,269.0,link,0.0,"(267, 269)",0.0,47911.3669,2.0,"[115, 116]"
78,56.0,270.0,link,27.0,274.0,link,29.0,"(270, 274)",0.0,31051.5112,2.0,"[117, 118]"
79,57.0,275.0,link,28.0,276.0,link,0.0,"(275, 276)",0.0,6137.9063,1.0,[119]
80,58.0,277.0,link,28.0,278.0,link,0.0,"(277, 278)",0.0,3692.22,1.0,[120]
81,59.0,279.0,link,29.0,282.0,link,0.0,"(279, 282)",0.0,27032.7505,2.0,"[121, 122]"
82,60.0,283.0,link,29.0,285.0,link,0.0,"(283, 285)",0.0,22135.2935,1.0,[123]
