start_timestep,route,fleet_size,charge_cap,batt_cap,d_spec,SOC_init,fleet_id
13,"(39, 40, 41, 34, 27, 15, 12, 13, 14, 11, 1, 2, 3, 4, 5)",1.0,77.0,88.8,0.24,0.6,0
14,"(39, 40, 41, 34, 27, 15, 12, 13, 14, 11, 1, 2, 3, 4, 5)",2.0,41.0,68.2,0.22,0.6,1
15,"(39, 40, 41, 34, 27, 15, 12, 13, 14, 11, 1, 2, 3, 4, 5)",1.0,103.0,107.94,0.257,0.7,2
16,"(39, 40, 41, 34, 27, 15, 12, 13, 14, 11, 1, 2, 3, 4, 5)",3.0,110.0,88.16,0.232,0.7,3
17,"(39, 40, 41, 34, 27, 15, 12, 13, 14, 11, 1, 2, 3, 4, 5)",3.0,41.0,68.2,0.22,0.6,4
18,"(39, 40, 41, 34, 27, 15, 12, 13, 14, 11, 1, 2, 3, 4, 5)",7.0,103.0,107.94,0.2570,0.7,5
19,"(39, 40, 41, 34, 27, 15, 12, 13, 14, 11, 1, 2, 3, 4, 5)",10.0,110.0,88.16,0.232,0.7,6
20,"(39, 40, 41, 34, 27, 15, 12, 13, 14, 11, 1, 2, 3, 4, 5)",21.0,85.0,81.2,0.232,0.6,7
21,"(39, 40, 41, 34, 27, 15, 12, 13, 14, 11, 1, 2, 3, 4, 5)",24.0,41.0,68.2,0.22,0.6,8
22,"(39, 40, 41, 34, 27, 15, 12, 13, 14, 11, 1, 2, 3, 4, 5)",43.0,110.0,88.16,0.232,0.7,9
