ID,geometry,nb_of_conn_edges,conn_edges,neighbour_tcs,neighbour_ras
0,POINT (255305.0987851082 374577.1222543715),3,"[0, 1, 2]","[518, 183, 495]","[6, 7, 10]"
1,POINT (373265.7670219355 430342.4914911508),3,"[3, 4, 5]","[5022, 625, 277]","[20, 24, 21]"
2,POINT (443649.1136035286 302106.4520290218),4,"[4, 7, 8, 9]","[317, 581, 70, 60]","[36, 34, 39, 42]"
3,POINT (448379.4659629168 475821.8973370455),3,"[6, 10, 11]","[162, 491, 243]","[35, 40, 41]"
4,POINT (452559.0183505033 462855.2281353752),4,"[5, 10, 12, 13]","[128, 606, 120, 201]","[38, 40, nan, 43]"
5,POINT (466701.1494637923 477269.0321012394),3,"[11, 12, 14]","[772, 483, 110]","[41, nan, 45]"
6,POINT (472157.1388207077 480950.0431613574),3,"[14, 15, 16]","[4122, 649, 507]","[44, nan, 47]"
7,POINT (473413.6635802722 307051.1695562012),4,"[9, 17, 18, 19]","[212, nan, 563, 165]","[42, nan, 48, nan]"
8,POINT (526729.4978050636 383262.225572763),4,"[13, 20, 21, 22]","[432, 508, 6086, 784]","[52, 51, 56, nan]"
9,POINT (547014.1023810469 391490.0369960463),4,"[22, 23, 24, 25]","[380, nan, 490, 453]","[nan, nan, 57, nan]"
10,POINT (551433.5608836741 366421.4359312603),3,"[21, 25, 26]","[438, 368, 788]","[56, nan, nan]"
11,POINT (557911.3214329985 346371.5999465739),4,"[18, 26, 27, 28]","[886, 446, 877, 470]","[58, nan, 66, 60]"
12,POINT (573191.634633061 478224.4321929696),3,"[16, 30, 31]","[415, 52, 409]","[59, 64, 68]"
13,POINT (578678.9360171439 503817.4639106587),3,"[29, 30, 32]","[nan, 659, 554]","[nan, 64, 65]"
14,POINT (595872.6534633561 476198.3656171435),3,"[31, 33, 34]","[385, 751, 396]","[68, nan, 69]"
15,POINT (609820.2056596784 427385.1048172014),3,"[24, 27, 36]","[469, 11, 517]","[71, 72, nan]"
16,POINT (611103.7492 502111.9365),3,"[32, 35, 37]","[461, 2245, 798]","[65, nan, 73]"
17,POINT (615114.9380029931 436015.9318863272),3,"[36, 38, 39]","[517, 505, 544]","[nan, 74, nan]"
18,POINT (620405.617512643 499830.4277965099),3,"[37, 40, 41]","[39, 960, 785]","[73, nan, 77]"
19,POINT (622624.5109510501 473136.7616604531),4,"[34, 43, 44, 45]",[],[nan]
20,POINT (622624.5109995364 473136.7616410544),4,"[34, 43, 44, 45]","[763, 242, 190, 311]","[69, 78, nan, 80]"
21,POINT (623003.7601483845 477210.942204849),3,"[42, 44, 46]","[920, 190, 708]","[nan, nan, nan]"
22,POINT (623944.0357788182 463189.9507648041),3,"[38, 43, 47]","[318, 273, 524]","[75, 78, 79]"
23,POINT (629179.1199178636 481658.633544667),4,"[46, 49, 50, 51]","[627, nan, 1076, 86]","[nan, nan, nan, 81]"
24,POINT (630260.3078794614 432998.9845205141),4,"[39, 48, 52, 53]","[538, 3094, nan, 532]","[nan, nan, nan, nan]"
25,POINT (630961.2278606875 483633.2555718133),3,"[41, 50, 54]","[734, 940, 949]","[76, nan, 82]"
26,POINT (633129.2966714989 498971.8237151105),3,"[40, 54, 55]","[800, 711, 35]","[nan, 82, 83]"
27,POINT (634775.4067841102 477151.3198574695),3,"[45, 51, 56]","[344, 47, 136]","[80, 81, 84]"
28,POINT (636749.7937654438 439908.9278079029),4,"[47, 53, 57, 58]","[526, 532, 92, nan]","[79, nan, nan, nan]"
29,POINT (661273.7292840023 463774.6106826091),3,"[56, 59, 60]","[29, 61, 756]","[84, 86, 85]"
